account_id,account_name,industry,segment
10f82875-982a-43dd-ba84-6c286612fc16,Schinner Group,Finance: Consumer Services,Midmarket
4f50d8f6-948a-402a-b267-418800e22cae,Kub Inc,Consumer Electronics/Appliances,SMB
770d1375-10e4-42b3-9fa6-60a8892a586d,Abbott-Connelly,Major Pharmaceuticals,Midmarket
862c0057-ba33-4451-9d32-36dd3917d884,Walker Inc,Oil & Gas Production,SMB
637177a5-53f3-44b0-b060-c31ed5238922,Rosenbaum-Tromp,n/a,SMB
f6d7ed6f-4b9b-4379-adb2-29043500901e,Wolf-Leffler,n/a,Midmarket
12db519b-4b14-4a1e-99e1-736a51faa5e7,Marquardt Inc,Industrial Machinery/Components,Midmarket
0f31cfb2-38bf-4037-925f-0f946875723c,Bechtelar LLC,n/a,SMB
c25ed55b-8e64-4112-bc47-f6081efba827,Larson-Walter,Major Banks,Midmarket
30b146e5-ebbc-4da1-b3ee-819c75022924,Stiedemann-Reichel,Major Pharmaceuticals,SMB
c56380dc-410a-465d-8e63-67491a020802,Hyatt-Reinger,Investment Managers,Midmarket
b5a02179-360b-47e8-8523-6e8a4315b967,Ankunding-Walter,Computer Communications Equipment,Midmarket
17b39605-c85d-48e5-b4bc-9a448f2dd13b,Brown Inc,Real Estate Investment Trusts,Midmarket
c42acabc-d676-4e0d-a658-122892c27cbc,Kub Group,Other Consumer Services,Midmarket
69d45b5e-7046-48e2-8733-55980ea313bf,Wiegand and Sons,Oil & Gas Production,Midmarket
c2586d73-b605-4b3f-ba5e-9c10e313127d,Grady LLC,Biotechnology: Electromedical & Electrotherapeutic Apparatus,Midmarket
d1903599-8c9f-4e1c-a674-0ae868781365,Rolfson-Pollich,Other Specialty Stores,Enterprise
9d5bd8c8-2723-48d9-b4c6-bcccabbc1a20,"Rohan, Nitzsche and Kunde",Broadcasting,SMB
57300d28-6161-438e-9ac1-20c6f1031f7d,"Franecki, Morar and Abshire",Computer Software: Prepackaged Software,Enterprise
217b3aa7-f0e7-4a16-847c-2a326348e1aa,Blanda-Littel,Major Banks,Midmarket
f3f35bd0-b914-4f53-bd7a-cfe43b60989f,"Yundt, Raynor and Miller",n/a,SMB
b21d3e80-96df-4839-b675-f03ab5da4666,"Bradtke, Hayes and Botsford",n/a,Midmarket
be400a77-e0dc-4b5d-92c4-93fd5bf030fc,"O'Hara, Carter and Schinner",Semiconductors,SMB
75c9cb96-b58c-434b-9850-63447362ff31,Ebert and Sons,n/a,SMB
f86fce81-40f2-49ed-b431-964e4f85513c,"Murray, Terry and Bergnaum",Automotive Aftermarket,Midmarket
6eb551de-4e57-4031-81c9-26ff379ad76c,Bergstrom-Ritchie,Major Pharmaceuticals,SMB
0a6226d5-05f8-4cf6-ac52-f8c2876758cd,Denesik-Douglas,Major Banks,Midmarket
875506f1-79c1-4a7b-beb9-6728f569a462,Wiegand-Jacobs,Military/Government/Technical,Midmarket
8a658391-6e9d-4da0-b917-8d1ccf82d554,Carroll-Zboncak,Major Banks,Midmarket
caedff61-797f-4d94-b12a-5c30b9659b38,Stracke-Weber,Business Services,Midmarket
854fe28b-a674-4800-b00c-48888a39d0fe,"Keebler, Farrell and Collins",Business Services,Midmarket
5a118265-12e7-48c4-8ec5-6cc0ec750b4d,Hammes Group,n/a,SMB
deaa149b-bcff-4e2a-a06f-505fd79deb64,Cassin and Sons,n/a,Midmarket
169047f4-0253-4f13-b81a-74dbbb2dbbd9,"Haag, McGlynn and Hammes",Oil & Gas Production,SMB
f39272c1-7901-40ab-ac83-21e1ec3dfa5c,Kautzer Inc,Biotechnology: Biological Products (No Diagnostic Substances),Midmarket
264d4b00-5822-41d6-b8e4-d6343e9032a6,"Walter, Schimmel and Turner",Major Banks,Midmarket
8ac793cc-201e-4b02-afa5-3e435ec81fb6,"Larkin, Fahey and Terry",Broadcasting,SMB
ccf6c3c5-ed36-4900-9603-42b49ebecc8c,Hane Group,n/a,SMB
8eb7eba1-b177-4786-a30a-49a239a743dd,Hand-Robel,Major Banks,Midmarket
f309dda6-529e-4bcb-aa1c-1d962a569dc3,Morar-Friesen,Air Freight/Delivery Services,SMB
b7fc680f-da81-4009-b238-4952d48a766d,Stiedemann LLC,Major Banks,Midmarket
b635f2f8-6a2f-407c-9a0b-b73843d5a133,Greenfelder-Hoeger,Multi-Sector Companies,Midmarket
aa00eec1-164d-47ad-8293-7e43c2484d45,Russel-Davis,RETAIL: Building Materials,SMB
6c5e8eb0-2a74-421b-8ec4-d6d8ff240b6d,"Gerhold, Kris and Thiel",Medical/Dental Instruments,Midmarket
570a2763-901d-4e00-9230-b1e9249cee0e,Turner Inc,Finance: Consumer Services,Midmarket
29e14e0b-6141-43e6-a087-2039692a37f5,"Wilderman, Schowalter and Bogisich",Major Banks,Enterprise
25fd62cf-881f-4ef0-94c5-f9a0170ae36c,Bartell-Kuhic,Movies/Entertainment,Midmarket
a8238383-bfb0-4452-87a3-1b6b864f69de,Zieme LLC,Telecommunications Equipment,Midmarket
549a476e-c768-4722-a4a0-86d851aa094a,Greenfelder Group,n/a,SMB
53b8a304-0da7-48fe-b3c2-3184178d0828,Erdman LLC,Business Services,Enterprise
261c648f-cc8e-470c-a53e-551138dd6682,Cormier LLC,Ophthalmic Goods,Midmarket
2525c927-8ddf-4c69-97fe-e49919901b5d,Bailey and Sons,Mining & Quarrying of Nonmetallic Minerals (No Fuels),Enterprise
e4901397-fb32-4edd-b1d3-9d40c6e93da8,Altenwerth and Sons,Major Banks,SMB
63ba8698-e6d4-4d83-a749-f6d1df6647b8,Kub Group,Other Consumer Services,Midmarket
106747f2-1c2c-4272-900a-0aa1b780cef5,Stiedemann-Reichel,Major Pharmaceuticals,SMB
dd4763e3-d578-4d1f-8503-1d44fabaff2a,"Batz, Friesen and Hane",Computer Software: Prepackaged Software,Midmarket
e43c4e64-3ad9-4748-9ed7-c044ecbd5045,"Yundt, Hegmann and Stehr",Radio And Television Broadcasting And Communications Equipment,Midmarket
1f1c164f-d941-41cc-ab63-e5a6c7f30a39,Walker-Friesen,Property-Casualty Insurers,Midmarket
dcaf9872-3483-4be4-912b-ccdbd2903bf8,Robel LLC,Biotechnology: Biological Products (No Diagnostic Substances),Midmarket
d8d96c0c-2fe2-4451-9c03-bfab50ccf6b7,Streich and Sons,Biotechnology: Biological Products (No Diagnostic Substances),Midmarket
