lead_id,user_id,continent,country_name,country_code,state_or_province_name,state_code,postal_code,latitude,longitude
1,3fd124c9-849c-41ad-bd78-e7826cf36c70,Oceania,Australia,AUS,Queensland,QLD,4917,-33.8688,151.2093
2,a2f9fd3b-2c80-45c5-8134-e01c65eb6da5,Asia,Japan,JPN,Hyogo,28,6899696,35.6762,139.6503
3,c75d22f2-a716-4163-8406-fcb61ca7c666,Asia,Japan,JPN,Aichi,23,4380744,35.6762,139.6503
4,68c44733-bbf1-4486-beca-2251f3f198a0,Oceania,Australia,AUS,Tasmania,TAS,7872,-33.8688,151.2093
5,a25e3506-1438-490a-b4a2-b0fb95b01f6b,Asia,Japan,JPN,Kyoto,26,6833795,35.6762,139.6503
6,41dbfd2a-aef2-4945-a29d-aadbe31ace7c,Asia,Japan,JPN,Osaka,27,5653696,34.6937,135.5023
7,bb286745-96c0-43d1-889e-18c7c5fc496f,Oceania,Australia,AUS,Northern Territory,NT,0879,-33.8688,151.2093
8,e7b7fb14-5342-4378-9af9-ee0250e1a774,North America,United States,USA,North Carolina,NC,24733,40.7128,-74.006
9,51ac2e3f-c108-4e6b-8a9b-46b3c5965ae5,Oceania,Australia,AUS,South Australia,SA,5821,-33.8688,151.2093
10,e383519f-59d9-4bcd-ac68-6209aa046d7a,Asia,Japan,JPN,Fukuoka,40,8656833,35.6762,139.6503
11,7678e58c-d870-4596-a5fc-189c29931dd1,Asia,Japan,JPN,Hyogo,28,6090574,35.6762,139.6503
12,2daec6a9-7a19-42ff-b1aa-2ffc9fb229a4,Asia,Japan,JPN,Osaka,27,5963231,34.6937,135.5023
13,8221c47b-0a34-4103-af01-b31e43c0cfba,North America,United States,USA,Massachusetts,MA,06285,40.7128,-74.006
14,e711b69d-cb79-470c-b7fd-2008916a635d,Asia,Japan,JPN,Hyogo,28,6185386,35.6762,139.6503
15,671827b5-f871-4a7b-a67f-e9896e15ff8d,Asia,Japan,JPN,Aichi,23,4376127,35.6762,139.6503
16,eb28a843-84cb-41ef-a103-2ea59a414842,North America,United States,USA,Colorado,CO,86472,40.7128,-74.006
17,d6df2f75-692d-4a65-84e7-8693917492ec,Oceania,Australia,AUS,Australian Capital Territory,ACT,2598,-33.8688,151.2093
18,dded7007-3a05-43c2-a2f6-d936d5a9f8f9,Asia,Japan,JPN,Hyogo,28,6727236,35.6762,139.6503
19,b3975b81-b6bb-44b8-b4e9-d94333a5bcd4,Oceania,Australia,AUS,Northern Territory,NT,0506,-33.8688,151.2093
20,827f988c-bc71-47c7-a694-b92d1ff85123,Asia,Japan,JPN,Hyogo,28,6527885,35.6762,139.6503
21,9c604832-83fa-4c7f-bb46-a38cad096fa9,Asia,Japan,JPN,Hyogo,28,6322999,35.6762,139.6503
22,9c612b6c-6eb8-4712-a99c-926b14bf2546,North America,United States,USA,Pennsylvania,PA,17402,40.7128,-74.006
23,f92354a9-1844-4af6-864c-1ed4092e99ba,North America,United States,USA,Pennsylvania,PA,15937,40.7128,-74.006
24,86388f45-80e0-4039-82a5-96654bb6d2bb,Asia,Japan,JPN,Fukuoka,40,8776846,35.6762,139.6503
25,2eb86069-f2c2-44eb-96cd-41a875d5b2de,Asia,Japan,JPN,Aichi,23,4597478,35.6762,139.6503
26,6f27538e-f712-4aac-9a47-dc5abd7a867f,North America,United States,USA,Colorado,CO,82419,40.7128,-74.006
27,32e8758e-31e7-436e-8266-11105c40778c,Asia,Japan,JPN,Chiba,12,2683256,35.6762,139.6503
28,0dfb564e-b3c1-46ff-89ae-97f04fe8bafd,Asia,Japan,JPN,Chiba,12,2032859,35.6762,139.6503
29,32f62984-a0c5-4a2e-9415-0659787f515b,North America,United States,USA,Pennsylvania,PA,19651,40.7128,-74.006
30,f3b7260a-aed3-4f32-9653-eaa9602baabb,Asia,Japan,JPN,Hyogo,28,6218272,35.6762,139.6503
31,d335484f-cea9-4099-93b7-113b5d6e8d76,North America,United States,USA,Colorado,CO,80765,40.7128,-74.006
32,3b15774d-ef2c-48d9-972b-3c6131104a0c,North America,United States,USA,Washington,WA,98868,40.7128,-74.006
33,f19a6724-f13c-4554-a5f7-4954eda431da,Oceania,Australia,AUS,Tasmania,TAS,7106,-33.8688,151.2093
