lead_id,user_id,deal_id,lead_source,campaign_name,utm_medium,lead_cost,lead_status,created_at,converted_at,SDR,industry,year
1,3fd124c9-849c-41ad-bd78-e7826cf36c70,56147971-2963-437a-8ae1-87351cf08c10,Organic,Q1 Paid Search,email,385.0073542752117,new,2023-08-04 17:48:36.623309,,Barbie,Cybersecurity,2023
2,a2f9fd3b-2c80-45c5-8134-e01c65eb6da5,958b921a-4569-48c8-9947-ff6e968c1691,Organic,Customer Referral,paid_search,172.10199931268804,contacted,2025-05-15 17:48:36.623309,,Ken,DevOps,2025
3,c75d22f2-a716-4163-8406-fcb61ca7c666,,Facebook Ads,Summer Webinar,referral,408.5795376575624,new,2023-06-09 17:48:36.623309,,Ken,Managed IT Services,2023
4,68c44733-bbf1-4486-beca-2251f3f198a0,,Referral,Holiday Promo,paid_search,404.7444527857554,qualified,2023-07-13 17:48:36.623309,,Barbie,Cybersecurity,2023
5,a25e3506-1438-490a-b4a2-b0fb95b01f6b,,Facebook Ads,Summer Webinar,paid_search,318.23998879663026,contacted,2023-08-11 17:48:36.623309,,Midge,IT Consulting,2023
6,41dbfd2a-aef2-4945-a29d-aadbe31ace7c,3855a6f7-4ed8-4948-95c6-7e01b33df323,Webinar,Holiday Promo,paid_search,614.346141684843,new,2024-06-10 17:48:36.623309,,Ken,Networking Solutions,2024
7,bb286745-96c0-43d1-889e-18c7c5fc496f,490904f8-9f07-4105-ac77-d56fddeec177,Referral,Q2 Retargeting,email,415.4345122010032,qualified,2025-06-15 17:48:36.623309,,Barbie,IT Consulting,2025
8,e7b7fb14-5342-4378-9af9-ee0250e1a774,,LinkedIn,Q1 Paid Search,referral,274.26766002696195,new,2023-11-01 17:48:36.623309,,Tori,DevOps,2023
9,51ac2e3f-c108-4e6b-8a9b-46b3c5965ae5,,LinkedIn,Holiday Promo,email,292.0091817195668,contacted,2024-09-10 17:48:36.623309,,Barbie,SaaS,2024
10,e383519f-59d9-4bcd-ac68-6209aa046d7a,f07caf14-0d4b-426d-8ad0-cb4068e17dc2,Organic,Q2 Retargeting,referral,269.5176104801079,qualified,2023-03-30 17:48:36.623309,,Ken,Data Analytics,2023
11,7678e58c-d870-4596-a5fc-189c29931dd1,f1c1f306-a1a5-4046-9a63-bc8836540c67,Email,Summer Webinar,referral,301.6788302089918,qualified,2025-03-18 17:48:36.623309,,Ken,Managed IT Services,2025
12,2daec6a9-7a19-42ff-b1aa-2ffc9fb229a4,,Referral,Customer Referral,social,274.5020121315126,disqualified,2024-09-09 17:48:36.623309,,Midge,Data Analytics,2024
13,8221c47b-0a34-4103-af01-b31e43c0cfba,4b40fef9-c78f-420f-b26f-260c1b81300f,Organic,Holiday Promo,organic,364.76058261314125,new,2024-03-07 17:48:36.623309,,Jake,Managed IT Services,2024
14,e711b69d-cb79-470c-b7fd-2008916a635d,07e377a7-8c36-46f6-a071-738dbcd69143,Referral,Q2 Retargeting,social,406.50562777615227,qualified,2024-02-11 17:48:36.623309,,Ken,AI & Machine Learning,2024
15,671827b5-f871-4a7b-a67f-e9896e15ff8d,c41293e0-514c-49cb-a6c6-fdfe8c225386,Facebook Ads,Q2 Retargeting,referral,300.0526073754784,new,2023-02-21 17:48:36.623309,,Ken,Cybersecurity,2023
16,eb28a843-84cb-41ef-a103-2ea59a414842,,Webinar,Q2 Retargeting,social,584.4779130859285,new,2023-09-15 17:48:36.623309,,Jake,Networking Solutions,2023
17,d6df2f75-692d-4a65-84e7-8693917492ec,,Email,Customer Referral,paid_search,354.74977653035984,contacted,2024-12-12 17:48:36.623309,,Barbie,Data Analytics,2024
18,dded7007-3a05-43c2-a2f6-d936d5a9f8f9,9d63104e-5eb8-4f4c-8fb7-43800494aac2,Organic,Holiday Promo,referral,253.62248617860945,contacted,2024-05-17 17:48:36.623309,,Midge,Data Analytics,2024
19,b3975b81-b6bb-44b8-b4e9-d94333a5bcd4,,Google Ads,Summer Webinar,organic,358.3041217795389,new,2024-05-26 17:48:36.623309,,Barbie,AI & Machine Learning,2024
20,827f988c-bc71-47c7-a694-b92d1ff85123,,LinkedIn,Q1 Paid Search,referral,255.8568716162528,qualified,2023-07-08 17:48:36.623309,,Ken,Software Development,2023
21,9c604832-83fa-4c7f-bb46-a38cad096fa9,,Webinar,Q1 Paid Search,email,434.35715123424905,new,2024-08-10 17:48:36.623309,,Midge,Cybersecurity,2024
22,9c612b6c-6eb8-4712-a99c-926b14bf2546,c6a177c9-e9ba-48b0-88b9-71ea7b364e92,Facebook Ads,Summer Webinar,organic,265.88845653549754,new,2023-01-04 17:48:36.623309,,Tori,IT Consulting,2023
23,f92354a9-1844-4af6-864c-1ed4092e99ba,3e0833a8-04da-4c32-b08c-1cece3e3ad77,Facebook Ads,Holiday Promo,paid_search,332.51235809275505,contacted,2023-09-05 17:48:36.623309,,Tori,SaaS,2023
24,86388f45-80e0-4039-82a5-96654bb6d2bb,,Email,Q1 Paid Search,referral,267.15029880195465,qualified,2024-01-01 17:48:36.623309,,Ken,SaaS,2024
25,2eb86069-f2c2-44eb-96cd-41a875d5b2de,6026aa00-52c9-4b4d-9d54-ce37d6f0a512,Webinar,SEO Blog,paid_search,480.0126965844587,contacted,2024-01-22 17:48:36.623309,,Midge,Managed IT Services,2024
26,6f27538e-f712-4aac-9a47-dc5abd7a867f,,Referral,Customer Referral,social,264.35712938219046,qualified,2024-02-22 17:48:36.623309,,Tori,Cloud Computing,2024
27,32e8758e-31e7-436e-8266-11105c40778c,,Referral,Spring Drip Campaign,organic,384.7540307046628,qualified,2025-10-07 17:48:36.623309,,Midge,IT Consulting,2025
28,0dfb564e-b3c1-46ff-89ae-97f04fe8bafd,,LinkedIn,Q1 Paid Search,email,126.54307437215412,new,2024-08-20 17:48:36.623309,,Ken,DevOps,2024
29,32f62984-a0c5-4a2e-9415-0659787f515b,b6f8fdd1-fbea-492c-b9b0-3bd0886b051a,Facebook Ads,Q2 Retargeting,organic,261.51721289689345,new,2022-11-13 17:48:36.623309,,Jake,DevOps,2022
30,f3b7260a-aed3-4f32-9653-eaa9602baabb,,Email,Holiday Promo,social,300.0485613408828,new,2024-02-06 17:48:36.623309,,Ken,SaaS,2024
31,d335484f-cea9-4099-93b7-113b5d6e8d76,b7f3b632-aabe-48bb-9b49-7e3960242662,Google Ads,Q2 Retargeting,social,234.2607700719688,qualified,2024-07-14 17:48:36.623309,,Tori,Software Development,2024
32,3b15774d-ef2c-48d9-972b-3c6131104a0c,4137ce75-9ddf-429e-ba7d-aa91d9b5e639,Facebook Ads,Holiday Promo,organic,344.30794303946004,qualified,2024-03-03 17:48:36.623309,,Tori,AI & Machine Learning,2024
33,f19a6724-f13c-4554-a5f7-4954eda431da,73420fa8-e58c-47a4-b57f-5cc170232382,LinkedIn,Q2 Retargeting,referral,298.673463835595,qualified,2023-07-01 17:48:36.623309,,Barbie,Cybersecurity,2023
34,72592712-921f-4205-93ec-fa22158afc06,,LinkedIn,Summer Webinar,referral,194.1108953034211,contacted,2023-04-11 17:48:36.623309,,Tori,IT Consulting,2023
35,9f473c03-531d-4a93-9b6e-e4876bf460f1,,Google Ads,Q2 Retargeting,paid_search,282.53220999921217,new,2022-10-29 17:48:36.623309,,Tori,Software Development,2022
36,75f95ab4-8899-4a70-9ca4-f83fbb481a70,93ce8631-e639-484c-9f8d-ca33517acf5a,LinkedIn,Holiday Promo,referral,257.2320631368126,new,2023-03-07 17:48:36.623309,,Ken,Networking Solutions,2023
37,03bc9e96-9c16-4f99-b53d-eeffb941f302,c5b32f87-13c2-4d2d-b7b5-e22a70d388f1,Organic,Q1 Paid Search,organic,368.3071682589528,new,2024-10-30 17:48:36.623309,,Jake,Software Development,2024
38,c194a458-4d1b-4e94-9fb2-cf7fa7d2309b,d4da0196-fd23-49ad-9275-ebcd4a0e8c73,Google Ads,Q1 Paid Search,paid_search,271.57791621652046,new,2024-02-02 17:48:36.623309,,Midge,SaaS,2024
39,7349b31e-0609-490e-a9d5-51ecd71f3580,766b579a-712a-4e20-b000-ded2b4bc113a,Referral,Product Launch,email,377.2728941616086,new,2023-03-09 17:48:36.623309,,Barbie,Data Analytics,2023
40,e449a83d-b12b-458d-aefc-d18f957d78e9,,LinkedIn,Holiday Promo,referral,139.50335676316362,qualified,2025-08-14 17:48:36.623309,,Jake,AI & Machine Learning,2025
41,c6114167-f083-4273-be6b-403bedbe6e5b,6e699bfc-b45f-4b0e-8417-56518c5ae709,LinkedIn,Product Launch,email,192.64040538441225,qualified,2025-08-09 17:48:36.623309,,Barbie,Cloud Computing,2025
42,a539a89a-db2a-4fa2-8693-a300c4ee18f2,00af3399-ab7b-4935-b32a-fb18fdf5c5df,Webinar,Q1 Paid Search,referral,547.2307650566725,contacted,2024-06-18 17:48:36.623309,,Ken,Cloud Computing,2024
43,a6d95065-c6be-4eff-8915-47a639684070,22fe7d13-2ec1-4199-b6f8-916cae6ca423,Email,Product Launch,social,309.02742075137144,qualified,2024-08-07 17:48:36.623309,,Ken,Networking Solutions,2024
44,04591355-47bf-408e-9008-8af53013ee66,68ae4080-aa46-4f5f-ac66-6b1835017c3e,Email,Customer Referral,referral,263.8722333133491,new,2025-07-21 17:48:36.623309,,Tori,SaaS,2025
45,228b25e3-5a26-4251-a1dc-507217372a4f,6764a6a7-ce26-489b-ba2a-e7b75e31bf6c,Email,Summer Webinar,referral,421.9220689538389,new,2025-04-18 17:48:36.623309,,Ken,DevOps,2025
46,2f43e291-6421-458c-b425-033bad13db54,,Facebook Ads,Holiday Promo,email,386.4442835594686,contacted,2024-09-01 17:48:36.623309,,Barbie,Managed IT Services,2024
47,6e6c8497-e93d-4d1e-a0ea-84c54485e672,9e590331-153a-4912-a183-a6f09af5dad3,Referral,Holiday Promo,paid_search,315.87294756807154,qualified,2023-07-17 17:48:36.623309,,Tori,Software Development,2023
48,5e35839a-77d6-4811-be2b-c03b75e90add,,Email,Customer Referral,organic,360.4333885041499,qualified,2025-07-16 17:48:36.623309,,Barbie,Networking Solutions,2025
49,bb52f1c2-63df-40f1-b875-cd0303ed25f9,f396362d-b4c3-4f88-9814-1dcbaf79587c,Webinar,Spring Drip Campaign,paid_search,622.3472277778548,qualified,2023-10-30 17:48:36.623309,,Midge,Managed IT Services,2023
50,4fceef55-969e-455d-aedc-5b161471d908,fa3bb000-5827-4329-9166-71a90b52aa01,LinkedIn,Product Launch,referral,213.90843955741613,contacted,2024-12-08 17:48:36.623309,,Jake,Networking Solutions,2024
51,de08cb11-9058-440f-bf96-ee765603e136,,Google Ads,Q2 Retargeting,referral,266.9243470323952,qualified,2024-04-01 17:48:36.623309,,Barbie,Software Development,2024
52,27b42213-e083-4cdc-b377-039260a582fd,a85f3088-a625-4354-9be5-0be1e435e36d,Organic,Spring Drip Campaign,paid_search,273.4862575847704,qualified,2023-10-15 17:48:36.623309,,Jake,SaaS,2023
53,be658978-bd9b-4c3f-91f3-01d8b6fededb,,LinkedIn,Product Launch,referral,163.10875670255297,qualified,2023-02-08 17:48:36.623309,,Ken,AI & Machine Learning,2023
54,998c1536-c6d9-4539-9b3b-46794c7b1e53,2aaf66ab-4495-437a-a7b2-76692b1e0778,Facebook Ads,Product Launch,referral,148.1548608282483,qualified,2023-08-13 17:48:36.623309,,Barbie,Data Analytics,2023
55,cc1b1a45-63bf-49dd-925b-ac224e956fb6,822358c3-ef84-4d87-9b30-77b79a3d7971,Organic,SEO Blog,social,273.5280182468976,contacted,2022-11-18 17:48:36.623309,,Barbie,IT Consulting,2022
56,eaefcb85-ee8a-4dfc-891c-39647a5d3c66,a16aaa72-bd2e-48d9-a694-67793f5e5474,Facebook Ads,Summer Webinar,organic,377.6133864983232,new,2025-04-17 17:48:36.623309,,Tori,Cybersecurity,2025
57,eb8c5186-9dc7-41ae-93cc-a34725c8011d,d1d56e31-9373-4b4a-bb39-8de20b140707,Google Ads,Product Launch,social,414.7670764161133,contacted,2022-11-10 17:48:36.623309,,Barbie,IT Consulting,2022
58,08b2a241-d8fc-4693-a4e3-7054fa7b59ae,10aa8416-4fdc-4ee0-8a82-1118f26ce0d6,Organic,Customer Referral,organic,242.83671540162723,new,2022-10-25 17:48:36.623309,,Barbie,AI & Machine Learning,2022
59,f5f892b5-cad0-4c3d-9277-70563434c3b6,,Referral,Q1 Paid Search,organic,376.26005427292665,converted,2024-05-17 17:48:36.623309,2024-06-23 20:53:47.623309,Ken,Cybersecurity,2024
60,cba8b34e-48bc-4e8b-8c88-8bf2dd16c431,e0421ae1-52c0-4193-bf05-3858fbce1cb0,Facebook Ads,Holiday Promo,organic,330.7222217976042,converted,2024-02-06 17:48:36.623309,2024-03-06 04:13:40.623309,Tori,DevOps,2024
61,59029328-6cbb-4429-948d-b80e64f564f5,,Referral,Summer Webinar,referral,371.45275294833147,qualified,2024-10-02 17:48:36.623309,,Jake,Data Analytics,2024
62,8e1d4b8b-6d84-4f0e-adc6-be8da1d5b491,04dd0a40-04f9-47b9-a71c-b819d4699fa3,Organic,Q1 Paid Search,organic,267.94823262717193,new,2025-09-15 17:48:36.623309,,Jake,DevOps,2025
63,14bcf6ae-cf56-4c9f-99d1-22eccc712ef8,,Google Ads,Summer Webinar,organic,305.69428424510573,new,2022-11-26 17:48:36.623309,,Tori,AI & Machine Learning,2022
64,78c5e51e-d7a8-424f-9602-b2a1fa453e64,,Google Ads,Customer Referral,email,316.24368449042004,contacted,2024-09-07 17:48:36.623309,,Midge,Cybersecurity,2024
65,b31775c4-4138-4ebe-a07d-0bf1ff71806c,fdb2523b-1d1c-46fe-b98b-fe0d989076a1,Facebook Ads,Q2 Retargeting,organic,326.4471890637965,qualified,2023-12-12 17:48:36.623309,,Barbie,IT Consulting,2023
66,334b1d5b-d770-4af0-a531-88c35abe7cc3,7431c7b0-d9e2-4227-8e6a-ea920eaa9719,LinkedIn,Q1 Paid Search,referral,271.8240448373992,qualified,2023-01-13 17:48:36.623309,,Midge,AI & Machine Learning,2023
67,5ba2d178-2919-45f6-9bf9-a82f75e5d551,,Facebook Ads,Summer Webinar,email,373.5475139657464,qualified,2024-05-01 17:48:36.623309,,Midge,SaaS,2024
68,8e3a2005-e41b-4942-b9a1-7e0f9eb68a51,afa60230-7540-43fa-953e-ee17c99fbea1,Webinar,Q2 Retargeting,email,521.2703355996347,qualified,2023-11-15 17:48:36.623309,,Jake,Managed IT Services,2023
69,adacf2ae-4235-4918-9c18-53bd303511e0,,Webinar,SEO Blog,paid_search,505.04619565919376,new,2024-04-13 17:48:36.623309,,Jake,IT Consulting,2024
70,de65edd2-69ff-4ba7-8741-b85db06a3465,,LinkedIn,SEO Blog,paid_search,271.71035418500503,new,2024-06-09 17:48:36.623309,,Ken,Cloud Computing,2024
71,c4ca07c8-0bfb-4dce-8e3b-e00fb7423e62,,LinkedIn,Summer Webinar,referral,311.1018161394435,contacted,2023-03-12 17:48:36.623309,,Barbie,Data Analytics,2023
72,bf6ecfe0-1dd4-4868-91d0-56690fc62823,ef3a8218-6e50-4b13-8a8c-7d3b44fac74c,Facebook Ads,Holiday Promo,organic,343.22222052496824,qualified,2023-05-29 17:48:36.623309,,Jake,Software Development,2023
73,d428de33-4885-43ef-a1ff-1cd880826c55,e212e8d7-bb72-438b-b8c9-7ae22ec7280a,Google Ads,Q2 Retargeting,email,324.9941663543018,qualified,2025-02-22 17:48:36.623309,,Jake,Managed IT Services,2025
74,f775c26a-9965-4610-b274-786bf7b3172c,e212e8d7-bb72-438b-b8c9-7ae22ec7280a,Facebook Ads,Customer Referral,social,290.7619385721083,contacted,2023-10-06 17:48:36.623309,,Barbie,DevOps,2023
75,e8081d3d-b051-4a91-a822-535c769de5a2,,Organic,Customer Referral,social,351.29785037363695,contacted,2023-02-20 17:48:36.623309,,Midge,AI & Machine Learning,2023
